timestamp,total_count,north_count,south_count,avg_speed,car,motorcycle,bus,truck,bicycle
2025-05-02 10:57:53.660460,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:53.918135,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:54.115085,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:54.298224,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:54.582332,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:54.763327,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:54.974861,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:55.217934,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:55.453162,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:55.683682,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:55.876105,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:56.093855,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:56.299579,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:56.477047,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:56.667920,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:56.848614,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:57.060719,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:57.323476,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:57.528909,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:57.713852,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:57.900081,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:58.113810,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:58.299927,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:58.495950,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:58.709156,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:58.888318,0,0,0,0,0,0,0,0,0
2025-05-02 10:57:59.073447,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:57:59.276884,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:57:59.461101,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:57:59.656003,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:57:59.858434,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:00.048453,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:00.233657,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:00.421453,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:00.588205,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:00.762223,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:00.950971,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:01.144502,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:01.332756,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:01.512327,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:01.686220,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:01.869481,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:02.053828,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:02.231703,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:02.411963,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:02.589264,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:02.789301,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:02.958729,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:03.142878,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:03.416432,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:03.597962,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:03.775557,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:03.960629,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:04.139071,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:04.387945,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:04.561555,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:04.740475,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:04.923567,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:05.092717,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:05.294065,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:05.470454,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:05.636904,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:05.812681,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:05.989623,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:06.160551,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:06.336046,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:06.514848,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:06.692410,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:06.880233,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:07.069820,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:07.242143,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:07.422832,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:07.623074,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:07.805203,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:07.980471,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:08.182264,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:08.359390,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:08.528547,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:08.705178,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:08.875025,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:09.052425,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:09.233589,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:09.448660,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:09.623105,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:09.825431,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:09.991943,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:10.173537,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:10.351007,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:10.521483,1,1,0,49.60609434779937,1,0,0,0,0
2025-05-02 10:58:10.701356,1,1,0,49.60609434779937,1,0,0,0,0
